,dt,author,title,link,board,content,positive,negative,score
4749,2016/10/6,dog9527,[標的] 5201 凱衛 多,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,Stock,-------------------------------------------------------------------------1.發文前請先詳閱[標的]分類發文規範，未依規範發文將受處份。2.發標的文未充實內文，多空理由不充實者，板規4-1或4-4處份3.退場機制未說明價位、出場條件或長期投資，並敘述對應之理由者，板規4-14.請依格式輸入內容，未依格式者板規4-1砍文處份。5.分類選填請益或心得者，進退場機制得刪去。---------------------按ctrl+y可刪除以上內,20,14,1
5054,2016/10/17,comemail,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1476679089.A.3AD.html,Stock,"來源：富豪居FB月風8分鐘有些人已經被嘎空嘎到網路上亂喊亂叫，邀請人來放空了話說，我們從來沒有邀請人買股票而這些被嘎空的，竟然堂而皇之公告股價必跌，邀散戶一起放空意圖影響股價，這樣不好吧XDD這樣只會讓別人知道你真的很急阿~~以上為月風FB發言========================================既然時間點這麼相近  我就對號入座啦首先又是一貫的伎倆  ""我們從來沒有邀請人買股票""然後又是恐嚇嘎空  順便套個股價必跌的帽子不太懂若嘎到50塊錢讓我停損  今年績效仍然5成而富豪居散戶們績效可以+100%   這是多好的美事啊不知是影響股價怕被人看穿  時常刪留言的比較急呢?還是已經擬好操作計劃  公開發文接受檢驗會比較急?=================================================補些心得以免版主砍文其實散戶一開始踏入股市多半如此  接受訊息被引誘而來不一定人人都能自我勉勵  苦心研究成為贏家但至少期望能隨著每次的事件  增長見聞後能稍微有判斷真偽的能力這世界上各種服務各種商品太多假貨股市如此  網拍商品  新聞  外貌  人心  奕是如此不懂判斷真偽  下場就是為人魚肉  業障重啊....--",64,2,-1
5055,2016/10/17,comemail,[標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,Stock,1. 標的：5201 凱衛2. 分類：心得3. 分析/正文：基本面：前兩季eps-0.7  已透過電訪及員工確認  今年業績就是如此Q3Q4也無起色  很高機會在11月中財報公布後取消信用交易技術面：強勢高檔震盪  既然判斷是高檔則只有一個方向可做籌碼面：有心人士從8月起融資布局  先逐漸拉抬至10/4當天FB: 富豪居月風 PO文喊買  完成大量換手出貨約1/2後續散戶買盤壓過出貨賣盤  從20漲到24目前籌碼呈現極度散亂  內部人+底部買的繼續出貨散戶買單依然積極每日呈現買超的狀況操作依據：由老師+散戶推起來的買盤這幾年的案例4609唐鋒  3169亞信  3632研勤  3060銘異  1538正峰新  5205漢康對照富豪居月風之前操作9906欣巴巴  6241易通展  5516雙喜沒有任何一支能夠不跌破起漲點  也沒有任何一支能讓整體散戶賺錢在台股中小型開始集體拉回的當下  我認為5201複製以上炒作股走勢  只是時間問題4. 進退場機制：(停損價位/出場條件/長期投資)每逢漲一根進場部位的1% 每逢大跌加碼1%最多進整體15%(因部位較大  1%已經用光某幾家券商當日融券)停損價50 即總部位-15%為止依據以下幾個信念：一：除唐鋒之外  沒看過有人可帶著幾千名散戶籌碼漲超過一倍二：除唐鋒之外  所有作空炒作股票整體空單均能賺錢三：月風不是古董張  常在FB發表免責聲明撇清炒作關係  力量終有限    (比如 只提供買賣心得  要跟單是你家的事類似這種)四：我有完整的進出計劃  就算失敗也不過-15%  距離今年虧損仍很遠    但散戶進出數據凌亂  不可能如月風所言一張不賣奇蹟自來    假設23元紅K進場 碰到一根長黑跌破21賣不賣? 不賣等變下一支6241?五：古董張被抓以後  市場已很少如此規模的叫牌  主管機關已密切注意    富豪居月風  你準備好了嗎?PO文目的在於指出台股亂象  樂陞已經夠亂了然而有亂之處則為有肉之處  願散戶早日覺醒--,124,2,-1
5060,2016/10/17,keith,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1476679820.A.2BA.html,Stock,安安，這支在某私人群組有放空然後月風為什麼知道私人群組喊空或者說為什麼會在意私人群組呢？有興趣查一下易通展起跌點跟凱衛起漲點這不是人為炒作的話那還有什麼是人為炒作當然這種股票成交量少，前面收好籌碼以後開始拉抬一人一張就拉上去，別再說他的標的都大賺了自己去看怎麼下來的吧然後，月風大大急了嗎？不然怎麼會在意我們這點小空單?八萬多人的社團就別注意兩百多人的群組了--,17,0,0
5062,2016/10/17,scuhans,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1476711098.A.A28.html,Stock,雖然這隻已經無法用基本面來看還是簡單分享幾個我認為Q3可能的財報重點手機發文請多見諒推文有人提到 看Q3的營收應該不會虧104-3Q營收 62，263105-3Q營收 63，250基本上兩期差異很小但1043Q的毛利率還有49%而今年上半年只剩40%本業要獲利的機會實在不高或許你會說營收放大毛利率會比今年上半年好那我們來看看104-3Q的損益表結構損益在本業（營業利益僅89.8萬）幾乎是損益兩平獲利幾乎來自業外的賣股 和匯兌那麼這兩點在今年Q3有機會達到嗎？首先來看賣股的部份凱衛的持股主要為2522張的零壹零壹在1050630收盤價為16.551050930收盤價為17.05這部分不管有沒有出售 淨值都可以增加約1.26m (每股約0.04）註：備供出售會直接調整權益項目而匯兌方面我認為可能會出現損失在105Q2財報外幣資訊部分公司仍有16，390的人民幣資產當時評價匯率4.8349/30評價匯率約在4.70大約要損失2.19m(每股約0.07）因此要出現去年Q3認列業外收益的可能性我認為是低的～當然也有可能有其他沒爆出的利多消息就不得而知了！在公司派勢必會盡力守住10塊淨值的狀況下好期待財報會不會有大驚喜啊！有錯請指教以上--,12,0,0
5067,2016/10/17,WESTONE,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1476681992.A.9EB.html,Stock,大家好，小志工又來亂了。勇於嘗試各種投機方法的小書僮一枚。人家大人在打架，小朋友難道只能在旁畫圈圈嗎？不，這是一個練習鎖單避險的時機呀！多空交戰，漲跌互見。此漲勢越瘋夠8.7%時，放空一張，此跌勢越瘋夠8.7%時，買進一張。總共兩張共8.7%的鎖單就完成了。XDD這是我自創的戰法，損益風險有限，爽度無窮呀。XDD我稱之為XXgo87鎖單戰法！XX請自填XDD我絕對沒有影射他人，請勿對號入座。我絕對沒有影射他人，請勿對號入座。我絕對沒有影射他人，請勿對號入座。很重要喔！所以我講三次。如果莫名被吉了，請一人來信一封JOJO小志工。XDD我走來始終如一，小志工下台一鞠躬。--補此股分析看法與操作，我絕對沒有藏頭喔。XD月週線多頭排列，風聲面多空交戰，夠主力思考出貨，八十點會來停損，其實完全不停利。,7,9,0
5076,2016/10/18,camoont,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1476766161.A.139.html,Stock,"通常看籌碼的盲點在於你不知道何時應該切入，因為你不知道他的操作週期 & 他有多少股票 or 資金，所以一看大戶買了就跟著買，大戶跑了就跟著跑，追高殺低。大戶賣股票真的是看空嗎？大股東如果不釋出一點股票，流通性低要如何 ""價量齊揚""?這樣股價怎麼炒得上去，怎麼能夠吸引技術面投資者 & 短線客來共襄盛舉?說不定大股東賣了 5% 只是剛要開始炒，為了剩下的股票能夠賣更好的價錢。[補充]賣 5% 是為了賣給市場主力，因為主力有錢沒股票，他手上沒貨為何要幫你炒？你讓他吃點貨，他炒上去才有賺，不然一檔成交量清淡的股票，忽然有人要買也要有人賣他，這都是事先約好的，至於散戶都是大漲兩三天後看到有價有量才會來了。要跟單可以，重點還是資金管理，來信大一開始的文章就有說了。--",2,2,0
5079,2016/10/18,comemail,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1476761037.A.B0E.html,Stock,幾點回應我希望在股價崩盤前獲利下車的多方  以及之後獲利回補的空方都能開開心心過日子  不會有人因為這支股票影響家計生活佔持股個位數% 應該不算滿手吧...目前套牢  但也不急著解套  會逢高或大跌加碼盤中當沖主力手法不予評論  只能說我無法作到這樣程度(要有程式輔助瞬間假單  我沒寫這程式)而每日調券也無法擺出這麼多賣單  只能猜測是手上庫存較多者這的確是值得討論的地方若有人放空被嘎停損不就我害的?請欲跟單者謹慎思考以下條件  自擬作法：1.停損設50是表達對富豪居的敬意  實際也會這麼作  畢竟散戶的瘋狂是無法準確估計的  凡事留後路  最多也是-15%  風險報酬可接受2.聽說月風開始瘋狂貼FB各大社團了?  進場的越多  可預見日後受傷的也會越多  雖然肉也會越多....3.我無法等到下殺日才進場(因部位)  逢高低加上去是唯一的選項  請謹慎思考適合自己的進出方法4.籌碼的鬆動已是事實  並非如月風所言僅是空軍對抗  來自於台中地區數千張的賣盤並非空單  隨意對比就可知道  月風就算掌握了社群媒體的影響力  又能控制底部融資買盤不出貨? 公司派? 大股東?  股價漲高對於公司經營者來講  可是樂意之至  此外  數千名散戶進出真能統一?5.我對自己有自信不太會動搖  來自於幾年來的操作結果  也不會怕月風逢發文必喊要吉人  也沒收誰上課費88888 也沒到處辦講座  也沒賣房裝潢炒房  也不會被約一約就單獨去奇怪的地方被打  交友都很固定也不怕被滲透  富豪居月風你呢?===================================================補一點心得以免被刪文來到股票市場最終是希望賺錢  然而賺錢有許多種方式靠自己能力賺的畢竟在少數  多數仍是靠他人的力量例如收費上課  收會員  出書  吸金  等等並不是說所有如此作的人都是假貨  有的高手只是為了好玩和還人情  偶爾為之所以要看  比例對於已經作起來的高手  真的就是一天幾十萬百萬上下了還會想要時常作秀辦講座開課? 搞組織很累人的一個簡單判斷真偽辦法供參考--,114,0,-1
5088,2016/10/18,FXCM,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1476765686.A.4FF.html,Stock,看集保每週給的資訊就一清二楚了上圖可以發現9/30-10/7號之間總股東數從不到2000人增加到3000人每個人平均張數也是大減大股東數目也少了幾個人，種種跡象都表示有大股東已經跑了股價如何、要不要放空我不清楚，不過持有的人要想想為何持有--,9,0,-1
5094,2016/10/18,longreen,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1476753229.A.4D2.html,Stock,過去曾關注過我文章的朋友，應該大略知道我的操作系統，此篇就基於相同的交易方法與精神，分享一下個人看法。我本身對越瘋此人無甚好感，情感上是支持版上的來信大，當然希望「這一邊」的人（不管大中小戶）能夠賺錢。然而感情是一回事，交易又是另一回事。交易必須保持絕對的客觀，不應受情緒、情感及各種偏見，包含對人的偏見、對事的偏見以及知識的偏見，所左右。對我而言，價格是絕對客觀的，線圖就是價格，所以線圖是絕對客觀的。一些朋友知道我是「純技術派」，這是在期貨操作上而言，如果是投資股票，基本分析是絕對必要的，但是線圖仍是我最後決策的依歸，舉個簡單的例子，一支股票基本面再好，財報再漂亮，殖利率再高，只要他週線圖均線空頭排列，我還是不會去買，基本面一樣好且均線多排或水平糾結的標的就夠我挑了，我為何要委曲求全呢？反過來說也是一樣，基本面再爛，均線多頭排列，價格強勢上漲，我絕不會去放空。我們常說買空頭趨勢的股票叫接刀，去空強多股，我則把它稱為擋火箭，人是沒辦法擋火箭的，除非你是超人。價格（線圖）會這樣那樣走，勢必有其理由，有些是我們知道或自以為知道的，也絕對有我們不知道的。這兩天看到版上的文，我也順手查了一下，這支凱衛，前三年平均賺約1.25塊，本益比抓10倍左右，股價在12～16塊算合理價格，然而今年前兩季賠了0.7塊，重要財務指標都呈負值，最誇張的是，它近一個月（09/14～10/14）的籌碼集中度竟然從54％到47％降了7趴之多，融資餘額卻節節高昇，股價兩個月漲了近7成，顯然其中充滿令人作嘔的陰謀。但是我不會去空它。從月線圖來看，上月收最高的長紅，帶動三線（5、10、20）穿越（金叉）綠線（60）成多頭排列，本月目前又是一根漲幅更大的紅棒，月線圖全線多排已然確立，而且（我很不想這麼說）可能只是初升段而已。週線圖更不用說，全線勃起快噴出血了，連綠線角度都近45度。在這種情況下，下檔全都是支撐，要放空它的話你會面臨兩個大問題，第一，你的停利目標在哪裡？這非常難設定。第二，幾時開始回跌？眼前完全看不到頭部，連高點在哪都不知道。同一隻股票我們來看看2004～2006那一波，大約在2005年中開始盤頭，同年12月拉回至黃線（20）附近，回升創新高後才在2006年4月暴跌。2007～2008那一波，8、9月小幅拉回，續創新高，12月回檔後再度暴漲，就算是在創了50塊天價後，也盤了3個月的頭部才開始正式走空。在這種均線強多的態勢下放空剛起漲的個股，連個能夠設定停損的「波段高點」都沒有（只能設在「歷史高點」…），停利不知道在哪，還要承受續漲的浮動虧損心理壓力，最重要的，是喪失可觀的時間成本。理論上這支真的要空，最快也要等到日線作頭才能開始試單，此時進場，你唯一能期待的就是V型反轉，但是V轉不是你能控制的，這等於是把你的命運押在完全不確定且機率甚低的特殊事件上，這是操作上必須避免的。延續我過去曾寫過的文章，在我的交易系統中，還有一項「交易誡律」，那就是「放棄V轉」，關於這部分的詳細說明，就等日後有機會再上來跟各位分享吧。最後，順便藉這個機會，跟這陣子有來信問問題的朋友，還有感謝、鼓勵我的，以及向我「催文」的朋友，說聲謝謝，還有抱歉，我一直都沒回信，而且（PO文）也一直都很隨興Orz。--,84,1,0
