,link,tag,author,time,content,score
431217,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,→ ,b0364864    , 10/06 22:48,沒基本面的公司就是炒,
431218,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,→ ,blueblueshin, 10/06 22:30,怎麼現在才想進呢,
431219,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,→ ,copycat603  , 10/06 23:01,另外問怎麼進富豪居阿有人可以介紹嗎不加我,
431220,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,→ ,copycat603  , 10/06 23:16,上次雙喜賺報了謝謝風哥,
431221,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,→ ,Humankind   , 12/21 22:51,恩，事後看來XD,
431222,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,→ ,kevinhon    , 10/07 07:05,以為是凱撒衛浴,
431223,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,→ ,kevinhon    , 10/07 07:58,淨值快低於10元了,
431224,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,→ ,object      , 10/07 00:16,又來,
431225,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,→ ,ornv        , 10/06 22:50,讚嘆師傅,
431226,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,→ ,s10330076   , 10/07 08:18,看戲,
431227,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,→ ,siarim      , 10/06 22:41,seafood前天就在喊了，你慢一步,
431228,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,→ ,siarim      , 10/07 07:07,什麼好炒的@@,
431229,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,→ ,Sirius1812  , 10/07 00:00,板規1-1-6請修正或依板規處份提醒注意板規1-1-8,
431230,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,→ ,stanleyplus , 10/07 00:40,負好蛆~~~記得有賺就跑~~因為他一張不賣會歷史重演,
431231,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,→ ,stanleyplus , 10/07 00:41,之前易通展就一狗票人受重傷~~,
431232,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,→ ,stanleyplus , 10/07 00:42,利用社員拉高出貨的胖子,
431233,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,→ ,willyylliw  , 10/06 23:45,哎…,
431234,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,噓 ,anaydh      , 12/17 13:10,前十樓都說要出貨了，事後看來....,
431235,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,噓 ,comemail    , 10/07 11:18,空~~~~~~~~~~~~~~~~~~,
431236,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,噓 ,copycat603  , 10/06 23:00,別進今天盤中一看就知再出小心好話說一次而已,
431237,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,噓 ,copycat603  , 10/06 23:15,月風你屌屁阿不讓我進富豪居找空單標的,
431238,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,噓 ,ExtraCream  , 10/07 02:00,感恩師傅,
431239,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,噓 ,ExtraCream  , 10/07 09:08,這檔被富X居喊後就不能用基本面看了,
431240,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,噓 ,JayK        , 10/07 08:13,要出貨了塊陶啊,
431241,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,噓 ,jimby412    , 10/07 01:28,明天跌一根先吧,
431242,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,噓 ,kakeru2980  , 10/07 11:16,低調空,
431243,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,噓 ,kokobom     , 10/07 13:29,空軍弟兄升空了阿,
431244,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,噓 ,KYmilk      , 10/07 04:13,zzz,
431245,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,噓 ,pradalove   , 10/06 22:30,好笑嗎...,
431246,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,噓 ,s10330076   , 10/07 08:17,單純想噓，散戶炒作,
431247,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,噓 ,z5582143    , 10/06 22:30,...,
431248,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,推 ,acerfit121  , 10/06 22:36,出貨文無誤,
431249,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,推 ,arsene333   , 10/06 22:33,感謝PO文!,
431250,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,推 ,betterry    , 10/06 22:57,出貨文,
431251,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,推 ,cl3bp6      , 10/14 12:21,同事今天神秘兮兮的跟我提到看來可以空了,
431252,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,推 ,CTC0115     , 10/06 22:27,喔,
