,link,tag,author,time,content,score
22485,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,→ ,s10330076   ,2017/6/1 13:10,:恩阿，我賺10%先出三分之二了。,1
22486,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,→ ,s10330076   , 06/01 17:49,:Hi~你頭香,1
22487,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,→ ,s10330076   , 06/01 17:56,:哇哇哇!歡迎歡迎，反正有賺錢，賺的錢還夠的話就雞,1
22488,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,→ ,s10330076   , 06/01 17:56,:排招待啦~,1
22489,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,→ ,wickwolf    ,2017/6/1 12:56,:頭推了,1
22490,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,a2589663    , 06/01 17:12,:推哥,1
22491,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,amorepooh   , 06/01 17:53,:Hi，詹K,1
22492,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,andyphy     , 06/01 14:39,:推推,1
22493,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,Ankuo       , 06/01 22:16,:hi，詹k,1
22494,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,Answer31830 , 06/01 22:10,:Hi，詹K…大推,1
22495,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,ben302      , 06/01 17:07,:卡推原po佛心,1
22496,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,chengweiwei ,2017/6/1 13:35,:推雞排加珍奶!!!,1
22497,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,Chinre      , 06/01 19:04,:Hi，詹k大,1
22498,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,colesterol  , 06/01 15:31,:推,1
22499,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,dl0810      , 06/01 17:52,:Hi..詹k大卡位！,1
22500,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,gn00295120  , 06/01 14:40,:推推,1
22501,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,gt99        , 06/02 12:38,:hi，詹K~~~,1
22502,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,Gundam5566  , 06/01 17:53,:Hi詹K大來卡位推一個,1
22503,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,herohua168  , 06/01 19:58,:Hi，K大,1
22504,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,impipo      , 06/01 18:29,:Hi詹K大,1
22505,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,irstj05     , 06/01 19:19,:Hi，詹k!(潛水帳號被你釣出來),1
22506,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,jack3317    , 06/01 16:18,:推,1
22507,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,jantijoe    ,2017/6/1 13:11,:推,1
22508,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,jgj12321    , 06/02 03:46,:Hi詹K大,1
22509,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,jimmy9028   , 06/01 18:06,:Hi，詹K！,1
22510,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,Jkaii       , 06/01 16:42,:推,1
22511,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,jungle4     , 06/02 08:33,:Hi!詹k！,1
22512,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,k29571159   , 06/01 13:54,:鵬程萬里,1
22513,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,kensin7788  , 06/01 23:48,:推,1
22514,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,kissvivi    , 06/01 21:46,:hi詹k,1
22515,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,last987654  , 06/02 15:06,:Hi詹k~,1
22516,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,lazyhong    , 06/01 13:43,:目前看短線有搞頭,1
22517,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,leaf1987    , 06/01 13:35,:推,1
22518,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,leaves0520  ,2017/6/1 13:02,:頸推,1
22519,https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,推 ,linx210145  , 06/01 15:20,:這隻以布局很久了,1
