author,dt,link,line,支持走向,sampled
david190,2016-06-02,https://www.ptt.cc/bbs/Stock/M.1464852416.A.66C.html,由於美國有第三大黨要出候選人 分希拉蕊的票如果剛好就讓 川普當選的話 應該會對美股長期走勢有所影響而美股又連動整個世界股票的走勢 尤其台股最受影響因此對於美國的選舉對台股可是有非常正面的關係根據最近新聞川普他所表現出來的言論各位可以 分析美股與美國經濟的可能的趨勢嗎?--他都能要脅共和黨必須要讓他過提名 怎會不利用白種人威脅國會呢?兩萬點~,0,0
Edward,2016-06-06,https://www.ptt.cc/bbs/Stock/M.1465187830.A.E27.html,卻時常在鏡頭面前凸搥的川普如果當選美國總統,-1,0
Edward,2016-06-06,https://www.ptt.cc/bbs/Stock/M.1465187830.A.E27.html,桑默斯列舉五大理由解釋為何對川普如此憂心,-1,0
Edward,2016-06-06,https://www.ptt.cc/bbs/Stock/M.1465187830.A.E27.html,當中首要是川普亂無章法的政策風險,-1,0
Edward,2016-06-06,https://www.ptt.cc/bbs/Stock/M.1465187830.A.E27.html,如川普主張的減稅措施預估可能超過十兆美元,0,0
Edward,2016-06-06,https://www.ptt.cc/bbs/Stock/M.1465187830.A.E27.html,以債務達人自居的川普還曾語出驚人的表示美國如果倒債,-1,1
Edward,2016-06-06,https://www.ptt.cc/bbs/Stock/M.1465187830.A.E27.html,3.心得/評論(必需填寫)：說真的川普當選機率沒那麼高,-1,0
IMF,2016-06-23,https://www.ptt.cc/bbs/Stock/M.1466687573.A.B16.html,美國共和黨總統準提名人川普（Donald Trump）3月10日在接受CNBC電視台專訪時指出,0,0
zakijudelo,2016-06-26,https://www.ptt.cc/bbs/Stock/M.1466923177.A.C71.html,[閒聊]不是只有盤中或盤後才能用嗎？川普也破產過,0,0
zakijudelo,2016-06-26,https://www.ptt.cc/bbs/Stock/M.1466923177.A.C71.html,川普勝選機率或許不低喔,1,0
mix5172000,2016-06-27,https://www.ptt.cc/bbs/Stock/M.1467001750.A.A90.html,加上國際政治情勢風波不斷、發言百無禁忌的地產大亨川普可能代表共和黨角逐白宮大位及英國退歐後之後續政治影響性等一連串變數,0,0
Sirius1812,2016-07-01,https://www.ptt.cc/bbs/Stock/M.1467339066.A.0CB.html,空軍是沒人權嗎？非得這樣嘎得人不成人形嗎？以全世界資金氾濫的情形以及FED全力做莊拉抬行情的態勢我相信在美國總統大選前絕對不會崩啦可憐的川普要被民主黨及全球央行給搞掉了請板主開空軍HATE區啦----,-1,0
zakijudelo,2016-07-07,https://www.ptt.cc/bbs/Stock/M.1467853498.A.582.html,最後還被川普選上,1,0
kid014028,2016-07-25,https://www.ptt.cc/bbs/Stock/M.1469419405.A.080.html,若由共和黨候選人川普（Donald Trump）當選,0,0
