dt,k1,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k2,k20,k3,k4,k5,k6,k7,k8,k9
2016-06-26,做出,承受,購,誇張,都給,遊戲,不確,除息日,受到,代表,併,員工,超級,這篇,短線,操盤,情緒,這點,不斷,合理
2016-06-26,0.994537949562,0.993148744106,0.993057489395,0.992990493774,0.992776036263,0.992746770382,0.992598056793,0.992468774319,0.992385208607,0.992380738258,0.992309689522,0.994335591793,0.99228054285,0.994195580482,0.994184732437,0.99366402626,0.993464529514,0.993408799171,0.993379116058,0.99315404892
2016-07-17,大概,下來,電信,上市,提到,確定,兩,虧損,9500,一路,估計,費用,交割,520,一年,單日,拉到,股利,上奇,投資人
2016-07-17,0.995476841927,0.993776082993,0.993738174438,0.993733227253,0.993466079235,0.993438482285,0.993374109268,0.99323040247,0.993145644665,0.993104994297,0.99306666851,0.994559526443,0.993023276329,0.994558811188,0.994222939014,0.994148731232,0.994132995605,0.994071483612,0.994024574757,0.993938028812
2016-07-24,難,希望,不過,但是,問題,沒用,應用,每次,這麼,這個,的話,久,其實,高,他們,寫,幾年,空間,用,一定
2016-07-24,0.998577594757,0.996848464012,0.996832609177,0.996705055237,0.996631741524,0.996502697468,0.996297955513,0.996155202389,0.996003210545,0.995980262756,0.995964169502,0.998257875443,0.995559930801,0.998119115829,0.997675478458,0.997363686562,0.99734967947,0.997195422649,0.997130334377,0.997021496296
2016-07-31,2498,提高,...........,提升,遊戲,全年,先前,星期五,王大,中午,一條,昨天,中信,1476,氣勢,試試,百點,開幕,底部,外豬
2016-07-31,0.998924970627,0.997702777386,0.997695863247,0.99764752388,0.997645020485,0.997642755508,0.997622251511,0.997605919838,0.997568666935,0.997565627098,0.997549951077,0.998118638992,0.997533619404,0.998096525669,0.997950196266,0.997869729996,0.997805476189,0.997751116753,0.9977247715,0.997719764709
2016-08-07,借,東,V,出現,評估,註,MSCI,K,半年,認列,越南,短線,區間,趴,跌幅,銀行,再次,公開,無法,跌破
2016-08-07,0.996568143368,0.996024847031,0.995954394341,0.995920240879,0.995917737484,0.995895385742,0.995857357979,0.99581182003,0.995790719986,0.995738983154,0.995737314224,0.996462106705,0.995685100555,0.996379613876,0.996375501156,0.996264815331,0.996222615242,0.996149122715,0.996094882488,0.996080875397
2016-08-14,世界,看盤,罷了,整個,這支,比較,反而,一天,企圖心,最好,可惜,基金,滿足,衛星,幫助,沒什麼,早就,寶雅,畢竟,方式
2016-08-14,0.998171687126,0.99759042263,0.997578144073,0.997570514679,0.997555017471,0.997510671616,0.997503459454,0.997412741184,0.99740087986,0.997327685356,0.997279345989,0.998086571693,0.997271776199,0.998072624207,0.998024702072,0.997981727123,0.997896790504,0.997862279415,0.997788727283,0.997656941414
2016-08-21,公,才能,三立,國民黨,越南,代表,意見,沒什麼,發現,分手,新政府,說法,經營權,資料,提升,大幅,自然,整個,爛,排名
2016-08-21,0.997227966785,0.996919333935,0.996840715408,0.996802568436,0.996754646301,0.99673640728,0.99669110775,0.996640086174,0.996634602547,0.996556997299,0.996546506882,0.997224509716,0.996533632278,0.997205734253,0.997082233429,0.997062027454,0.997054696083,0.997050404549,0.997024059296,0.996995091438
2016-08-28,單純,看不懂,可是,不好意思,劇本,完全,沒錢,同情,上當,發現,以為,反而,理解,會過,查,忙,股東們,還不,人要,其次
2016-08-28,0.992006361485,0.985406279564,0.984922468662,0.984873116016,0.983828186989,0.983641386032,0.983637690544,0.983436286449,0.983309805393,0.983186423779,0.983080685139,0.988829910755,0.983063817024,0.988465547562,0.988103091717,0.986993670464,0.986937880516,0.986347079277,0.985772132874,0.985482811928
2016-09-04,配息,加入,節目,一片,存,無線,在講,一出,...........,月餅,擔保,偷偷,火車,ㄉ,端午,裡面,打臉,進度,對方,八
2016-09-04,0.997852265835,0.996160745621,0.996065378189,0.996063411236,0.996037244797,0.99593269825,0.995886027813,0.995884299278,0.995830118656,0.995794534683,0.995769202709,0.997179627419,0.99576485157,0.996948719025,0.99694108963,0.996918082237,0.996756196022,0.996624588966,0.996570646763,0.99655598402
2016-09-11,寫,集團,機率,導致,起,只能,第一,追,事情,考慮,利率,反,平均,被套,修法,反正,才能,i6,當時,小時
2016-09-11,0.999618172646,0.999297499657,0.999288678169,0.999280631542,0.999277412891,0.999223351479,0.999207019806,0.999152123928,0.999129354954,0.999127149582,0.999126672745,0.999528169632,0.999121010303,0.999474406242,0.999436736107,0.999419152737,0.999384641647,0.99933552742,0.999331355095,0.999300718307
2016-09-18,產品,甚至,天地,男生,保障,運動,應,華亞科,的話,看過,大陸,提升,聯盟,2330,行紀,因此,以及,新,審查,證明
2016-09-18,0.999044835567,0.99848139286,0.998475253582,0.998427033424,0.998404026031,0.998376965523,0.998374223709,0.998355031013,0.998352944851,0.998336672783,0.998317122459,0.998908340931,0.998290121555,0.998778164387,0.998766720295,0.998760938644,0.998709201813,0.998665928841,0.998632669449,0.998611330986
2016-09-25,大漲,當,新加坡,每月,利多,禮拜,葡萄,三年,八,算,笑話,一張,缺貨,應賣戶,保證金,急,成交量,融券,拿來,或者
2016-09-25,0.997570037842,0.996373593807,0.996351599693,0.996294617653,0.996248781681,0.996241629124,0.996191442013,0.996140420437,0.996123015881,0.99609208107,0.996081292629,0.997072339058,0.996071100235,0.996965527534,0.996935606003,0.996902227402,0.996853768826,0.996705889702,0.996671259403,0.996377527714
2016-10-02,沒人要,綠,推推,不適,Y,哪些,大人,有什麼,防彈,上升,4ni,哪招,恐怖,心態,禮拜,第二,2891,還賣,‵,開戶
2016-10-02,0.995673656464,0.992518603802,0.992408633232,0.99223703146,0.992214083672,0.99220252037,0.991800367832,0.991336643696,0.991271734238,0.990983784199,0.990786135197,0.99549973011,0.990651190281,0.994533419609,0.993925273418,0.993875265121,0.99350643158,0.992868423462,0.992784738541,0.992711544037
2016-10-09,摸頭,高點,剩下,三,宏達電,可憐,好多,支撐,走勢,喝,耶,指,VR,無,當,複,大量,大跌,帳款,下跌
2016-10-09,0.998907089233,0.998641371727,0.998626053333,0.99862408638,0.998610019684,0.998591125011,0.998577356339,0.99856710434,0.998552441597,0.998523592949,0.998512804508,0.998819887638,0.998482882977,0.998818337917,0.998695135117,0.998687386513,0.998680710793,0.9986743927,0.99866437912,0.998647689819
2016-10-16,以前,看看,外,幾年,籌碼,幾天,實在,出現,前面,假,難過,一張,不敢,成交量,垃圾,版,LCD,發現,上次,至少
2016-10-16,0.999629855156,0.999048233032,0.999018788338,0.999017298222,0.999000489712,0.998994171619,0.998973071575,0.998965740204,0.998952746391,0.998935937881,0.998935759068,0.999536931515,0.99892950058,0.99923825264,0.999205887318,0.999204754829,0.999188423157,0.999183297157,0.999123573303,0.999075114727
2016-10-23,城市,神,轉盈,廣告,長,本次,價值,可,理由,報酬,發文,『,期,參考,對象,學家,淨值,司法,in,1.68
2016-10-23,0.989985644817,0.987324178219,0.987046182156,0.986752808094,0.986679077148,0.986600220203,0.986496150494,0.98645055294,0.986434042454,0.986396789551,0.986301779747,0.989948034286,0.986274421215,0.989781558514,0.989725589752,0.988549053669,0.98796248436,0.987494528294,0.987468242645,0.987416028976
2016-10-30,不過,高,例如,背後,事,和,印象,投資人,少數,因為,問題,低,不利,競爭,用,其實,股市,這種,資本,更
2016-10-30,0.996956825256,0.994932830334,0.994870007038,0.994696199894,0.994691371918,0.994607806206,0.994500994682,0.994475603104,0.99427318573,0.994242012501,0.993851184845,0.996847510338,0.993822038174,0.996743202209,0.996622681618,0.996614873409,0.995672225952,0.995533764362,0.995434522629,0.995078444481
2016-11-06,可能,永遠,買,一個,來,但,很多,只是,一樣,市場,外資,台灣,才,賣,現在,當選,美國,如果,應該,其實
2016-11-06,0.988083302975,0.971733510494,0.970672130585,0.970026493073,0.969822347164,0.968270361423,0.967821121216,0.967288672924,0.96656036377,0.965610206127,0.962915718555,0.984223306179,0.961939156055,0.980724930763,0.977057516575,0.976035356522,0.975178599358,0.973884522915,0.973561406136,0.972808718681
2016-11-13,市場,器,業績,由,包括,26,當時,「,大型,幾塊,穩健,歐洲,營,而言,美國,且,曾,性,升息,甚至
2016-11-13,0.997195422649,0.994999825954,0.994959950447,0.994946062565,0.994824528694,0.994786858559,0.994673907757,0.994257092476,0.994185566902,0.994144022465,0.994011163712,0.996481180191,0.993943035603,0.995863735676,0.995854854584,0.995763123035,0.99544018507,0.995279014111,0.995262980461,0.995245575905
2016-11-20,資產,龐大,直接,經營,強調,出面,消息,不少,不同,發言人,不斷,企業,增資,主管,謊,地方,受到,一句,傳,之後
2016-11-20,0.998854696751,0.997993946075,0.997950315475,0.997884511948,0.997878611088,0.997834324837,0.99766510725,0.997620046139,0.997530400753,0.997505784035,0.997469305992,0.998582303524,0.997459053993,0.998452663422,0.998304188251,0.998297035694,0.998224258423,0.998125970364,0.998105049133,0.998099684715
2016-11-27,管理,開放,保單,戶,趕快,股板,交割,匯率,完成,內,大幅,任何,卡,不夠,po,產,強勢,定期,機構,相當
2016-11-27,0.999390721321,0.999071121216,0.999059617519,0.999003112316,0.998961389065,0.998952209949,0.998947679996,0.998944818974,0.998934388161,0.998894691467,0.998860478401,0.999294936657,0.998859107494,0.999238431454,0.999204277992,0.999172031879,0.999154090881,0.99911993742,0.999104440212,0.999083518982
2016-12-04,騙,嗆,美國人,反正,怕,人家,真正,便宜,期貨,酸,這種,中共,生氣,那個,找,就算,國家,確定,只能,文化
2016-12-04,0.999179601669,0.998737692833,0.998714447021,0.998710334301,0.998649299145,0.998596429825,0.998590230942,0.998487770557,0.998486638069,0.998441576958,0.998440980911,0.999135911465,0.998436927795,0.998989105225,0.998978793621,0.998976349831,0.998822450638,0.99881207943,0.998794674873,0.998755097389
2016-12-11,VR,這檔,使用,至於,造成,抓,預期,利用,美食,貼,只能,第一次,接,就算,原因,未來,怎,據,一步,X
2016-12-11,0.999418377876,0.999005615711,0.998973309994,0.998959302902,0.998948216438,0.998922348022,0.998914241791,0.998910009861,0.998901963234,0.99888676405,0.998883485794,0.999235033989,0.998862504959,0.999231815338,0.999194920063,0.999138474464,0.999128162861,0.999107956886,0.999075889587,0.999022245407
2016-12-18,雖然,歐盟,貿易,資本,規劃,總統,生產,目標,每個,時間,尤其,之後,人工智慧,資源,權證,政治,服務,央行,獨立,而且
2016-12-18,0.999483823776,0.999026894569,0.999019801617,0.999016880989,0.998970925808,0.99894285202,0.99890768528,0.998874127865,0.998870611191,0.998841166496,0.998785316944,0.999269843102,0.998775720596,0.999237418175,0.999184727669,0.99911648035,0.999103188515,0.999072015285,0.999062180519,0.999039292336
2016-12-25,冷,每天,屌,開發,販售,由,改標,項,顯示,山林,旗下,地,接受,市值,出去,靈芝,手機,阿伯,年底,這邊
2016-12-25,0.99923735857,0.998749315739,0.99874907732,0.998745560646,0.998740971088,0.998735010624,0.998727917671,0.998714089394,0.998694658279,0.998679935932,0.998676657677,0.998933315277,0.998611271381,0.998902380466,0.998860001564,0.998794794083,0.998784422874,0.998780429363,0.998758912086,0.998756885529
